Branches of Science,Number of Students,Percentage
Agriculture,979138.0,4.96
Arts and Culture,692177.0,3.51
Education Sciences and Pedagogy,1621734.0,8.21
Engineering and Technology,7803710.0,39.52
Healthcare and Medicine,1542049.0,7.81
Humanities,695243.0,3.52
Mathematical and Natural Sciences,532301.0,2.7
Military Science,111.0,0.0
Oriental and African Studies,11984.0,0.06
Social Sciences,5866999.0,29.71
